id, sentiment
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,-1
528,0
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,1
537,0
538,-1
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,-1
547,1
548,0
549,1
550,0
551,1
552,-1
553,-1
554,-1
555,-1
556,0
557,-1
558,1
559,0
560,0
561,1
562,0
563,1
564,0
565,0
566,-1
567,-1
568,0
569,0
570,-1
571,-1
572,1
573,0
574,0
575,-1
576,1
577,-1
578,0
579,0
580,1
581,-1
582,-1
583,1
584,-1
585,-1
586,0
587,-1
588,1
589,1
590,-1
591,-1
592,-1
593,-1
594,0
595,1
596,1
597,1
598,1
599,-1
600,0
601,1
602,0
603,1
604,1
605,1
606,0
607,-1
608,1
609,-1
610,0
611,0
612,1
613,1
614,0
615,-1
616,1
617,1
618,-1
619,0
620,1
621,0
622,-1
623,-1
624,-1
625,1
626,1
627,0
628,0
629,-1
630,0
631,0
632,0
633,-1
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,0
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,-1
655,0
656,-1
657,0
658,1
2424,0
659,1
660,1
661,1
662,1
663,1
664,-1
665,0
666,1
667,1
668,1
669,1
670,1
671,-1
672,-1
673,-1
674,1
675,-1
676,0
677,1
2425,0
678,1
679,1
680,-1
681,1
682,1
683,0
684,0
685,0
686,1
687,1
688,1
689,1
690,0
691,-1
692,0
693,1
694,0
695,1
696,1
697,0
698,-1
699,1
700,-1
701,1
702,1
703,1
704,1
705,0
706,1
707,-1
708,0
709,1
710,-1
711,1
712,1
713,0
714,-1
715,1
2426,0
716,-1
717,-1
718,-1
719,0
720,0
721,0
722,-1
723,-1
724,-1
725,-1
726,0
727,0
728,0
729,0
730,0
731,-1
732,-1
733,-1
734,0
735,0
736,-1
737,0
738,0
739,1
740,0
741,-1
742,0
743,-1
744,-1
745,-1
746,0
747,0
748,-1
749,0
750,-1
751,0
752,0
753,0
754,-1
755,0
756,-1
757,-1
758,-1
759,0
760,-1
761,-1
762,-1
763,1
764,0
765,1
766,0
767,-1
768,-1
769,0
770,-1
771,0
772,0
2427,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,0
779,-1
780,-1
781,-1
782,-1
783,-1
784,0
785,-1
786,-1
787,0
788,-1
789,1
790,-1
791,-1
792,-1
793,0
794,-1
795,-1
796,-1
797,-1
798,0
799,1
800,-1
801,-1
802,-1
803,-1
804,-1
805,-1
806,-1
807,-1
808,-1
809,-1
810,-1
811,-1
1853,-1
1854,0
1855,-1
1856,-1
1857,1
1858,1
1859,-1
1860,0
1861,-1
2428,0
1862,1
1863,-1
1864,0
1865,-1
1866,-1
1867,1
1868,-1
1869,1
1870,0
1871,0
1872,1
1873,0
1874,0
1875,-1
1876,-1
1877,-1
1878,1
1879,-1
1880,0
1881,0
1882,1
1883,0
1884,-1
1885,0
1886,1
1887,1
1888,1
1889,0
1890,-1
1891,0
1892,0
1893,1
1894,-1
1895,-1
1896,1
1897,0
1898,1
1899,1
1900,0
1901,0
1902,0
1903,1
1904,1
1905,0
1906,1
1907,0
1908,-1
1909,0
1910,1
1911,1
1912,0
1913,0
1914,-1
1915,-1
1916,1
1917,1
1918,1
1919,-1
1920,-1
1921,1
1922,1
1923,1
1924,1
1925,0
1926,0
1927,1
1928,0
1929,0
1930,-1
1931,1
1932,1
1933,1
1934,1
1935,-1
1936,-1
1937,1
1938,1
1939,-1
1940,1
1941,0
1942,1
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,1
1952,0
1953,1
1954,0
1955,1
1956,-1
1957,0
1958,-1
1959,-1
1960,1
1961,-1
1962,-1
1963,-1
1964,0
1965,0
1966,1
1967,0
1968,-1
1969,0
1970,-1
1971,1
1972,1
1973,0
1974,0
1975,0
1976,-1
1977,-1
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,-1
2014,0
2015,0
2016,0
2017,1
2018,1
2019,1
2020,0
2021,1
2022,0
2023,1
2024,1
2025,-1
2026,-1
2027,0
2028,1
2029,0
2030,0
2031,1
2032,1
2033,1
2034,1
2035,0
2036,0
2037,0
2038,0
2039,1
2040,1
2041,1
2042,-1
2043,-1
2044,-1
2045,1
2046,-1
2047,-1
2048,1
2049,0
2050,-1
2051,-1
2052,0
2053,1
2054,1
2055,0
2056,1
2057,0
2058,-1
2059,0
2060,0
2061,1
2062,0
2063,1
2064,-1
2065,-1
2066,0
2067,1
2068,-1
2069,-1
2070,1
2071,-1
2072,0
2073,0
2074,1
2075,1
2076,0
2077,1
2078,1
2079,-1
2080,1
2081,1
2082,-1
2083,0
2084,1
2085,1
2086,1
2087,1
2088,1
2089,0
2090,0
2091,-1
2092,0
2093,1
2094,-1
2095,-1
2096,1
2097,1
2098,0
2099,1
2100,-1
2101,1
2102,0
2103,1
2104,1
2105,-1
2106,-1
2107,1
2108,0
2109,1
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2180,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2201,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,-1
2235,1
2236,0
2237,1
2238,-1
2239,-1
2240,1
2241,1
2242,1
2243,1
2244,-1
2245,1
2246,-1
2247,0
2248,-1
2249,1
2250,-1
2251,0
2252,1
2253,1
2254,-1
2255,-1
2256,1
2257,-1
2258,0
2259,1
2260,0
2261,0
2262,0
2263,1
2264,0
2265,1
2266,0
2267,-1
2268,0
2269,1
2270,1
2271,0
2272,-1
2273,1
2274,1
2275,0
2276,0
2277,0
2278,0
2279,1
2280,1
2281,0
2282,-1
2283,1
2284,1
2285,0
2286,0
2287,-1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,0
2294,0
2295,1
2296,1
2297,0
2298,0
2299,1
2300,1
2301,0
2302,0
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,1
2310,0
2311,-1
2312,0
2313,0
